USER_ID,EDAD,GENERO,ESTADO_CIVIL,CARRO,PRECIO_POLIZA
0,36,MASCULINO,SOLTERO,Toyota Hilux 2016,8900000
1,18,MASCULINO,CASADO,Toyota 4Runner 2014,10850000
2,28,MASCULINO,CASADO,Renault Clio 2017,3075000
3,49,FEMENINO,SOLTERO,Mazda BT-50 2016,2450000
4,47,FEMENINO,CASADO,Renault Clio 2017,3075000
5,44,MASCULINO,CASADO,Toyota Corolla 2012,5650000
6,31,FEMENINO,SOLTERO,Volkswagen Golf 2013,5675000
7,42,MASCULINO,SOLTERO,Chevrolet Spark GT 2016,3650000
8,50,MASCULINO,SOLTERO,Renault Twingo 2014,2950000
9,44,FEMENINO,CASADO,Renault Logan 2013,3975000
10,47,FEMENINO,CASADO,Toyota Hilux 2012,8800000
11,52,FEMENINO,SOLTERO,Toyota 4Runner 2012,10800000
12,40,FEMENINO,SOLTERO,Renault Clio 2015,3025000
13,40,FEMENINO,CASADO,Volkswagen Jetta 2014,6100000
14,42,MASCULINO,CASADO,Kia Cerato 2016,5400000
15,45,FEMENINO,SOLTERO,Renault Duster 2014,4100000
17,39,MASCULINO,CASADO,Chevrolet Aveo 2015,3125000
18,41,FEMENINO,CASADO,Ford Fiesta 2015,4875000
19,24,FEMENINO,SOLTERO,Volkswagen Jetta 2018,6200000
20,42,FEMENINO,SOLTERO,Renault Duster 2014,4100000
21,46,FEMENINO,CASADO,Volkswagen Gol 2010,3500000
22,25,MASCULINO,SOLTERO,Ford Ranger 2016,7900000
23,55,MASCULINO,SOLTERO,Chevrolet Aveo 2010,3000000
24,22,FEMENINO,SOLTERO,Toyota Prado 2015,13875000
25,22,FEMENINO,SOLTERO,Volkswagen Beetle 2012,5800000
26,47,MASCULINO,SOLTERO,Chevrolet Aveo 2017,3175000
27,18,MASCULINO,SOLTERO,Ford Escape 2014,6350000
28,42,FEMENINO,CASADO,Kia Cerato 2013,5325000
30,30,FEMENINO,CASADO,Kia Rio 2015,4375000
31,38,MASCULINO,SOLTERO,Volkswagen Jetta 2015,6125000
32,46,MASCULINO,CASADO,Ford Escape 2012,6300000
33,39,MASCULINO,CASADO,Ford Ranger 2013,7825000
34,47,MASCULINO,SOLTERO,Mazda Seis 2017,7425000
35,38,MASCULINO,CASADO,Renault Logan 2017,4075000
36,53,MASCULINO,SOLTERO,Kia Sorento 2013,8325000
37,38,MASCULINO,CASADO,Nissan Frontier 2019,5475000
39,38,FEMENINO,SOLTERO,Volkswagen Amarok 2012,6550000
40,35,FEMENINO,CASADO,Kia Cerato 2015,5375000
41,27,FEMENINO,SOLTERO,Ford Escape 2016,6400000
42,54,MASCULINO,SOLTERO,Ford Explorer 2011,10775000
43,18,FEMENINO,CASADO,Nissan X-trail 2014,6850000
44,59,FEMENINO,SOLTERO,Renault Logan 2012,3950000
45,47,FEMENINO,SOLTERO,Kia Sportage 2016,6300000
46,56,FEMENINO,SOLTERO,Kia Cerato 2012,5300000
47,65,MASCULINO,CASADO,Kia Rio 2016,4400000
48,62,MASCULINO,CASADO,Kia Picanto 2014,3500000
49,48,MASCULINO,CASADO,Volkswagen Golf 2014,5700000
50,42,FEMENINO,SOLTERO,Toyota Prado 2015,13875000
52,38,MASCULINO,SOLTERO,Ford Explorer 2013,10825000
53,50,MASCULINO,SOLTERO,Mazda BT-50 2015,2425000
54,62,MASCULINO,SOLTERO,Renault Sandero 2016,3900000
55,48,FEMENINO,CASADO,Volkswagen Beetle 2013,5825000
56,45,FEMENINO,SOLTERO,Chevrolet Aveo 2017,3175000
57,39,MASCULINO,CASADO,Toyota Fortuner 2015,8875000
58,44,FEMENINO,CASADO,Toyota Hilux 2013,8825000
59,36,FEMENINO,SOLTERO,Renault Sandero 2012,3800000
60,42,FEMENINO,SOLTERO,Volkswagen Golf 2015,5725000
61,46,FEMENINO,SOLTERO,Chevrolet Captiva 2014,6000000
62,46,MASCULINO,CASADO,Nissan Sentra 2013,5075000
63,30,FEMENINO,CASADO,Kia Sorento 2012,8300000
64,46,MASCULINO,SOLTERO,Chevrolet Optra 2014,3250000
65,19,MASCULINO,CASADO,Volkswagen Jetta 2017,6175000
66,58,MASCULINO,SOLTERO,Kia Picanto 2016,3550000
67,35,FEMENINO,SOLTERO,Toyota Corolla 2012,5650000
68,36,MASCULINO,CASADO,Mazda CX5 2015,7875000
69,50,MASCULINO,CASADO,Mazda Tres 2014,5600000
70,45,MASCULINO,CASADO,Kia Rio 2014,4350000
71,31,FEMENINO,SOLTERO,Nissan Frontier 2014,5350000
72,50,MASCULINO,CASADO,Renault Clio 2012,2950000
73,49,MASCULINO,CASADO,Renault Clio 2014,3000000
74,53,FEMENINO,SOLTERO,Kia Sorento 2009,8225000
75,41,FEMENINO,SOLTERO,Nissan Pathfinder 2017,8425000
76,41,FEMENINO,CASADO,Mazda Seis 2016,7400000
77,49,MASCULINO,SOLTERO,Ford EcoSport 2014,5350000
78,34,MASCULINO,CASADO,Nissan Pathfinder 2016,8400000
79,31,FEMENINO,CASADO,Kia Picanto 2012,3450000
80,40,MASCULINO,CASADO,Volkswagen Amarok 2015,6625000
81,22,FEMENINO,SOLTERO,Mazda Allegro 2017,2675000
82,18,MASCULINO,CASADO,Kia Picanto 2014,3500000
