USER_ID,EDAD,GENERO,CIUDAD
0,38,FEMENINO,Barranquilla
1,23,MASCULINO,Manizales
2,40,MASCULINO,Sincelejo
3,49,FEMENINO,Aguachica
4,37,MASCULINO,Itagui
5,44,MASCULINO,Manizales
6,49,MASCULINO,Medellin
7,31,FEMENINO,Pasto
8,39,MASCULINO,Cali
9,47,FEMENINO,Floridablanca
10,30,FEMENINO,Sogamoso
11,38,FEMENINO,Cali
12,38,MASCULINO,Sincelejo
13,32,MASCULINO,Manizales
14,50,FEMENINO,Cali
15,50,MASCULINO,Rionegro
16,27,FEMENINO,Manizales
17,28,MASCULINO,Soacha
18,41,MASCULINO,Valledupar
19,55,MASCULINO,Cerete
20,57,FEMENINO,San Andres de Tumaco
21,58,MASCULINO,Envigado
22,48,MASCULINO,Pasto
23,39,FEMENINO,Itagui
24,32,MASCULINO,Sabanalarga
25,30,FEMENINO,Magangue
26,37,FEMENINO,Fusagasuga
27,35,FEMENINO,Cucuta
28,45,FEMENINO,Valledupar
29,46,FEMENINO,Valledupar
30,35,MASCULINO,Cartago
31,36,MASCULINO,Malambo
32,38,FEMENINO,Soledad
33,52,FEMENINO,Manizales
34,49,FEMENINO,Guadalajara de Buga
35,51,FEMENINO,Cucuta
36,48,MASCULINO,Cali
37,46,MASCULINO,Manaure
38,37,MASCULINO,Valledupar
39,32,MASCULINO,Garzon
40,33,MASCULINO,Yopal
41,44,MASCULINO,Neiva
42,40,MASCULINO,Valledupar
43,48,MASCULINO,Manizales
44,61,FEMENINO,Armenia
45,44,MASCULINO,Pereira
46,49,FEMENINO,Pereira
47,48,MASCULINO,Monteria
48,47,FEMENINO,Apartado
49,36,FEMENINO,Cartago
50,30,MASCULINO,Florencia
51,30,MASCULINO,Cucuta
52,47,FEMENINO,Soledad
53,55,FEMENINO,Soacha
54,29,MASCULINO,Giron
55,37,FEMENINO,Sogamoso
56,41,FEMENINO,Uribia
57,32,MASCULINO,Floridablanca
58,49,FEMENINO,San Andres de Tumaco
59,33,MASCULINO,Sogamoso
60,40,MASCULINO,Cali
61,37,MASCULINO,Maicao
62,33,FEMENINO,Neiva
63,40,FEMENINO,Turbo
64,41,FEMENINO,Valledupar
65,41,FEMENINO,Cartagena
66,38,MASCULINO,Guadalajara de Buga
67,18,FEMENINO,Sincelejo
68,26,FEMENINO,Buenaventura
69,36,MASCULINO,Apartado
70,39,FEMENINO,Cartagena
71,36,MASCULINO,Cali
72,35,MASCULINO,Medellin
73,50,MASCULINO,Tierralta
74,48,MASCULINO,Valledupar
75,43,FEMENINO,Soledad
76,39,MASCULINO,Facatativa
77,43,MASCULINO,Santander de Quilichao
78,22,FEMENINO,Soledad
79,55,MASCULINO,Palmira
80,23,FEMENINO,Manizales
81,51,MASCULINO,nan
82,37,MASCULINO,San Andres de Tumaco
83,41,FEMENINO,Santander de Quilichao
84,53,FEMENINO,Riohacha
85,46,MASCULINO,Riohacha
86,47,FEMENINO,Pasto
87,26,FEMENINO,Palmira
88,19,MASCULINO,Manizales
89,39,MASCULINO,Chia
90,41,FEMENINO,Popayan
91,47,FEMENINO,Barranquilla
92,41,MASCULINO,Valledupar
93,29,FEMENINO,Aguachica
94,34,MASCULINO,Villa del Rosario
95,49,MASCULINO,Tulua
96,38,FEMENINO,Cali
97,49,MASCULINO,Barranquilla
98,29,FEMENINO,Valledupar
99,39,MASCULINO,Sincelejo
100,43,MASCULINO,Manizales
101,34,FEMENINO,Pitalito
102,40,MASCULINO,Pasto
103,47,MASCULINO,Neiva
104,59,MASCULINO,Cali
105,47,FEMENINO,Cali
106,31,FEMENINO,Santa Marta
107,62,MASCULINO,Garzon
108,44,MASCULINO,Tunja
109,37,FEMENINO,Dosquebradas
110,34,FEMENINO,Soacha
111,49,MASCULINO,Floridablanca
112,39,FEMENINO,Armenia
113,45,MASCULINO,Bello
114,18,MASCULINO,nan
115,20,FEMENINO,Valledupar
116,51,FEMENINO,Cali
117,48,FEMENINO,Pasto
118,41,MASCULINO,Fusagasuga
119,45,MASCULINO,Envigado
120,29,FEMENINO,Ipiales
121,52,FEMENINO,Aguachica
122,31,MASCULINO,Ibague
123,36,FEMENINO,nan
124,46,FEMENINO,Cali
125,35,MASCULINO,Cerete
126,44,FEMENINO,Cucuta
127,34,MASCULINO,Florencia
128,44,FEMENINO,Facatativa
129,29,FEMENINO,Garzon
130,19,MASCULINO,Villa del Rosario
131,31,MASCULINO,Rionegro
132,48,MASCULINO,Malambo
133,37,MASCULINO,Ocana
134,52,FEMENINO,Riohacha
135,30,MASCULINO,Valledupar
136,40,FEMENINO,Soledad
137,58,MASCULINO,Manaure
138,43,MASCULINO,Valledupar
139,53,FEMENINO,Aguachica
140,39,FEMENINO,Zipaquira
141,50,MASCULINO,Valledupar
142,55,FEMENINO,Neiva
143,49,MASCULINO,Sogamoso
144,36,FEMENINO,Lorica
145,36,FEMENINO,Bucaramanga
146,32,FEMENINO,Pereira
147,44,FEMENINO,Ibague
148,29,MASCULINO,Tulua
149,37,MASCULINO,Valledupar
150,36,FEMENINO,Sincelejo
151,38,MASCULINO,Valledupar
152,38,FEMENINO,Villa del Rosario
153,60,MASCULINO,Bello
154,60,FEMENINO,Cali
155,25,FEMENINO,Santander de Quilichao
156,37,FEMENINO,Palmira
157,41,FEMENINO,Rionegro
158,36,MASCULINO,Cartago
159,42,FEMENINO,Santander de Quilichao
160,38,MASCULINO,Rionegro
161,24,FEMENINO,Piedecuesta
162,20,FEMENINO,Barranquilla
163,28,MASCULINO,Manizales
164,34,FEMENINO,Yumbo
165,47,FEMENINO,Armenia
166,51,MASCULINO,Pasto
167,38,MASCULINO,Pitalito
168,45,MASCULINO,Soledad
169,39,MASCULINO,Santander de Quilichao
170,34,FEMENINO,Florencia
171,39,MASCULINO,Valledupar
172,52,FEMENINO,Uribia
173,47,MASCULINO,Valledupar
174,33,FEMENINO,Soledad
175,32,FEMENINO,Villa del Rosario
176,53,MASCULINO,Sincelejo
177,35,FEMENINO,Bucaramanga
178,28,FEMENINO,Lorica
179,50,FEMENINO,Sincelejo
180,42,MASCULINO,Palmira
181,49,MASCULINO,Tierralta
182,37,FEMENINO,Ipiales
183,36,FEMENINO,Cienaga
184,56,MASCULINO,Palmira
185,48,MASCULINO,Soledad
186,34,FEMENINO,Soledad
187,30,FEMENINO,Valledupar
188,20,FEMENINO,Cali
189,54,FEMENINO,Floridablanca
190,25,FEMENINO,Tierralta
191,32,FEMENINO,Apartado
192,46,MASCULINO,Sincelejo
193,42,FEMENINO,Manizales
194,29,FEMENINO,Bogota
195,30,MASCULINO,Cali
196,40,FEMENINO,Cali
197,59,FEMENINO,Popayan
198,45,MASCULINO,Valledupar
199,47,MASCULINO,Ipiales
200,57,MASCULINO,Riohacha
201,44,MASCULINO,Cartago
202,37,MASCULINO,San Andres de Tumaco
203,46,FEMENINO,Cali
204,47,MASCULINO,Cali
205,48,MASCULINO,Manizales
206,52,MASCULINO,Popayan
207,34,FEMENINO,Florencia
208,41,MASCULINO,Tunja
209,48,MASCULINO,Valledupar
210,18,MASCULINO,Pereira
211,29,MASCULINO,Piedecuesta
212,18,FEMENINO,Ocana
213,30,MASCULINO,Manizales
214,41,FEMENINO,Manizales
215,51,MASCULINO,Guadalajara de Buga
216,21,FEMENINO,Cerete
217,52,MASCULINO,Soledad
218,41,FEMENINO,Chia
219,24,FEMENINO,Turbo
220,41,FEMENINO,Manizales
221,45,MASCULINO,Yumbo
222,45,FEMENINO,Giron
223,41,FEMENINO,Soledad
224,34,FEMENINO,Cali
225,49,FEMENINO,Cucuta
226,25,MASCULINO,Pasto
227,38,FEMENINO,Tulua
228,54,FEMENINO,Cucuta
229,47,MASCULINO,Cucuta
230,39,MASCULINO,Sincelejo
231,35,FEMENINO,Girardot
232,18,MASCULINO,Zipaquira
233,43,MASCULINO,Quibdo
234,31,MASCULINO,Tulua
235,33,MASCULINO,Barrancabermeja
236,46,MASCULINO,Valledupar
237,34,MASCULINO,Sincelejo
238,26,MASCULINO,Lorica
239,49,MASCULINO,Valledupar
240,38,MASCULINO,San Andres de Tumaco
241,47,FEMENINO,Ipiales
242,33,MASCULINO,Valledupar
243,43,MASCULINO,Riohacha
244,52,FEMENINO,Barrancabermeja
245,47,MASCULINO,Valledupar
246,31,MASCULINO,Florencia
247,29,FEMENINO,Popayan
248,29,MASCULINO,Fusagasuga
249,47,FEMENINO,Popayan
250,37,FEMENINO,Manaure
251,30,MASCULINO,Lorica
252,45,FEMENINO,Sincelejo
253,43,MASCULINO,Riohacha
254,31,FEMENINO,Tierralta
255,29,FEMENINO,Valledupar
256,53,FEMENINO,Envigado
257,34,MASCULINO,Cali
258,43,FEMENINO,Cali
259,23,FEMENINO,Manizales
260,67,FEMENINO,Rionegro
261,44,FEMENINO,Itagui
262,40,MASCULINO,Bucaramanga
263,33,MASCULINO,Cali
264,26,FEMENINO,Cartago
265,47,MASCULINO,Soacha
266,28,MASCULINO,Popayan
267,31,FEMENINO,Cienaga
268,35,MASCULINO,Maicao
269,53,FEMENINO,Guadalajara de Buga
270,47,FEMENINO,Magangue
271,48,MASCULINO,Fusagasuga
272,48,FEMENINO,Neiva
273,36,MASCULINO,Sabanalarga
274,36,MASCULINO,Turbo
275,35,MASCULINO,Manizales
276,47,FEMENINO,Pasto
277,49,FEMENINO,Barrancabermeja
278,54,FEMENINO,Caucasia
279,33,FEMENINO,Tulua
280,45,FEMENINO,Sabanalarga
281,24,FEMENINO,Cerete
282,32,MASCULINO,Malambo
283,40,MASCULINO,Valledupar
284,28,MASCULINO,Ocana
285,47,FEMENINO,Valledupar
286,54,MASCULINO,Tunja
287,40,MASCULINO,Quibdo
288,51,MASCULINO,Bello
289,62,MASCULINO,Sogamoso
290,46,MASCULINO,Manizales
291,40,MASCULINO,Cucuta
292,46,FEMENINO,Florencia
293,36,MASCULINO,Valledupar
294,21,MASCULINO,Cali
295,46,FEMENINO,Piedecuesta
296,33,FEMENINO,Bogota
297,55,MASCULINO,Buenaventura
298,44,MASCULINO,Popayan
299,49,MASCULINO,Fusagasuga
300,41,FEMENINO,Cali
301,36,MASCULINO,Uribia
302,34,FEMENINO,Sincelejo
303,56,FEMENINO,Barrancabermeja
304,37,FEMENINO,Bello
305,42,FEMENINO,Soledad
306,41,FEMENINO,Soledad
307,45,FEMENINO,Pereira
308,40,MASCULINO,Tulua
309,32,MASCULINO,Maicao
310,40,MASCULINO,Riohacha
311,45,FEMENINO,Itagui
312,40,MASCULINO,Dosquebradas
313,24,FEMENINO,Cartagena
314,37,MASCULINO,Ipiales
315,68,FEMENINO,Apartado
316,36,FEMENINO,Cali
317,39,FEMENINO,Armenia
318,36,MASCULINO,Cucuta
319,46,FEMENINO,Zipaquira
320,28,MASCULINO,Florencia
321,31,FEMENINO,Yumbo
322,33,FEMENINO,Popayan
323,33,MASCULINO,Cali
324,47,FEMENINO,Pereira
325,47,MASCULINO,Quibdo
326,45,MASCULINO,Tulua
327,18,FEMENINO,Bello
328,49,FEMENINO,Soledad
329,56,MASCULINO,Cali
330,39,MASCULINO,Fusagasuga
331,43,MASCULINO,Malambo
332,27,FEMENINO,Popayan
333,56,FEMENINO,Cali
334,40,FEMENINO,Pitalito
335,37,FEMENINO,Pasto
336,39,MASCULINO,Magangue
337,50,MASCULINO,Itagui
338,37,MASCULINO,Bello
339,40,MASCULINO,Popayan
340,47,FEMENINO,Zipaquira
341,44,FEMENINO,Quibdo
342,35,FEMENINO,Soledad
343,45,MASCULINO,Girardot
344,48,MASCULINO,Soacha
345,31,MASCULINO,Sincelejo
346,36,FEMENINO,Valledupar
347,44,MASCULINO,Yumbo
348,53,FEMENINO,Quibdo
349,66,FEMENINO,Apartado
350,37,MASCULINO,Sincelejo
351,34,MASCULINO,nan
352,36,FEMENINO,Armenia
353,43,FEMENINO,Lorica
354,40,MASCULINO,Bello
355,28,FEMENINO,Tulua
356,21,MASCULINO,Turbo
357,54,MASCULINO,Villa del Rosario
358,51,FEMENINO,Rionegro
359,30,FEMENINO,Giron
360,18,FEMENINO,Valledupar
361,47,FEMENINO,Ocana
362,31,MASCULINO,Ipiales
363,52,FEMENINO,Duitama
364,45,MASCULINO,Barranquilla
365,30,FEMENINO,Guadalajara de Buga
366,39,MASCULINO,Bucaramanga
367,49,MASCULINO,Manizales
368,47,FEMENINO,Soledad
369,42,FEMENINO,Piedecuesta
370,42,MASCULINO,Medellin
371,52,FEMENINO,Cerete
372,32,MASCULINO,Fusagasuga
373,27,MASCULINO,Riohacha
374,30,MASCULINO,Uribia
375,44,FEMENINO,Fusagasuga
