USER_ID,EDAD,GENERO,CIUDAD
0,41,MASCULINO,Turbo
1,37,MASCULINO,Cerete
2,44,FEMENINO,Fusagasuga
3,49,FEMENINO,Apartado
4,24,FEMENINO,Armenia
5,37,MASCULINO,Popayan
6,27,FEMENINO,Pitalito
7,49,FEMENINO,Sincelejo
8,34,FEMENINO,Santa Marta
9,45,FEMENINO,Pereira
10,21,MASCULINO,Monteria
11,49,FEMENINO,Soacha
12,41,MASCULINO,Ibague
13,28,FEMENINO,Tulua
14,58,FEMENINO,Manizales
15,62,FEMENINO,Barrancabermeja
16,37,MASCULINO,Valledupar
17,52,MASCULINO,Neiva
18,46,MASCULINO,Envigado
19,40,FEMENINO,Ocana
20,31,FEMENINO,Valledupar
21,46,FEMENINO,Valledupar
22,48,MASCULINO,Garzon
23,44,MASCULINO,Valledupar
24,34,MASCULINO,Yopal
25,47,FEMENINO,Girardot
26,29,MASCULINO,Maicao
27,56,MASCULINO,Popayan
28,61,MASCULINO,Bello
29,23,FEMENINO,Malambo
30,37,FEMENINO,Pasto
31,31,MASCULINO,Manizales
32,29,MASCULINO,Pasto
33,40,MASCULINO,Manizales
34,36,MASCULINO,Valledupar
35,35,FEMENINO,Cucuta
36,37,FEMENINO,Cucuta
37,37,MASCULINO,Manizales
38,21,MASCULINO,Villa del Rosario
39,52,FEMENINO,Cucuta
40,42,MASCULINO,Medellin
41,36,FEMENINO,Manizales
42,30,FEMENINO,Zipaquira
43,45,FEMENINO,Ocana
44,51,FEMENINO,Santa Marta
45,46,MASCULINO,Lorica
46,52,MASCULINO,Manizales
47,41,FEMENINO,Bogota
48,42,FEMENINO,Sogamoso
49,30,MASCULINO,Piedecuesta
50,35,MASCULINO,Valledupar
51,34,MASCULINO,Fusagasuga
52,50,MASCULINO,Cali
53,40,MASCULINO,Uribia
54,55,MASCULINO,Tulua
55,39,MASCULINO,Caucasia
56,43,FEMENINO,Tulua
57,47,FEMENINO,Quibdo
58,31,FEMENINO,Cali
59,40,MASCULINO,Manizales
60,53,MASCULINO,San Andres de Tumaco
61,42,MASCULINO,Cienaga
62,47,FEMENINO,Giron
63,22,MASCULINO,Itagui
64,45,MASCULINO,Uribia
65,60,MASCULINO,Bucaramanga
66,44,MASCULINO,Cartago
67,29,MASCULINO,Sincelejo
68,22,FEMENINO,Cali
69,43,MASCULINO,Sogamoso
70,38,MASCULINO,Sincelejo
71,25,FEMENINO,Apartado
72,53,MASCULINO,Zipaquira
73,60,MASCULINO,Fusagasuga
74,41,FEMENINO,Sogamoso
75,19,MASCULINO,Pasto
76,50,FEMENINO,Magangue
77,35,MASCULINO,Chia
78,18,MASCULINO,Aguachica
79,37,MASCULINO,Valledupar
80,39,FEMENINO,Malambo
